wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.01, 0.02, 0.00, 266%, 0, 2400, 149284, 15, 17
0.01, 0.02, 0.00, 320%, 0, 2402, 149268, 6, 11
0.01, 0.03, 0.00, 214%, 0, 2402, 149224, 5, 17
0.01, 0.01, 0.01, 272%, 0, 2401, 149180, 3, 11
0.01, 0.01, 0.01, 192%, 0, 2402, 149228, 7, 3
0.01, 0.01, 0.01, 185%, 0, 2402, 149168, 5, 11
0.01, 0.01, 0.01, 290%, 0, 2402, 149336, 4, 15
0.01, 0.01, 0.01, 272%, 0, 2403, 149336, 4, 19
0.01, 0.02, 0.01, 310%, 0, 2402, 149268, 3, 20
0.01, 0.02, 0.01, 272%, 0, 2403, 149228, 3, 10
