wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.18, 0.16, 0.01, 100%, 0, 86, 1928, 0, 1
0.18, 0.15, 0.03, 99%, 0, 85, 1928, 0, 1
0.18, 0.15, 0.02, 99%, 0, 90, 2064, 23, 1
0.18, 0.15, 0.03, 99%, 0, 86, 2020, 13, 1
0.18, 0.15, 0.02, 99%, 0, 90, 2004, 19, 1
0.18, 0.14, 0.04, 100%, 0, 86, 2000, 2, 1
0.19, 0.15, 0.03, 99%, 0, 90, 2012, 0, 1
0.18, 0.16, 0.01, 99%, 0, 85, 1968, 18, 1
0.18, 0.17, 0.01, 100%, 0, 89, 2076, 9, 1
0.18, 0.14, 0.04, 99%, 0, 85, 1932, 1, 1
