wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.01, 0.02, 0.00, 207%, 0, 2414, 150152, 13, 44
0.01, 0.01, 0.00, 216%, 0, 2413, 150060, 12, 26
0.01, 0.02, 0.00, 225%, 0, 2414, 150092, 21, 31
0.01, 0.01, 0.01, 233%, 0, 2414, 150032, 7, 33
0.01, 0.02, 0.00, 250%, 0, 2413, 150060, 6, 65
0.01, 0.02, 0.00, 290%, 0, 2414, 150152, 11, 57
0.01, 0.02, 0.00, 254%, 0, 2415, 150096, 12, 72
0.01, 0.02, 0.00, 263%, 0, 2413, 150076, 9, 35
0.01, 0.02, 0.01, 266%, 0, 2413, 150032, 7, 34
0.01, 0.01, 0.00, 208%, 0, 2415, 150112, 34, 31
