wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.20, 0.17, 0.01, 92%, 0, 1486, 18628, 23, 2
0.18, 0.15, 0.02, 99%, 0, 1483, 18604, 2, 1
0.18, 0.16, 0.01, 99%, 0, 1483, 18408, 12, 1
0.21, 0.20, 0.01, 100%, 0, 1486, 18508, 0, 1
0.18, 0.16, 0.02, 100%, 0, 1487, 18716, 1, 1
0.18, 0.16, 0.01, 99%, 0, 1485, 18540, 9, 1
0.18, 0.15, 0.03, 100%, 0, 1481, 18356, 16, 1
0.18, 0.15, 0.02, 100%, 0, 1488, 18628, 1, 1
0.18, 0.15, 0.02, 100%, 0, 1482, 18376, 0, 1
0.18, 0.16, 0.02, 100%, 0, 1482, 18404, 18, 1
