wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.04, 0.03, 0.01, 100%, 0, 120, 2792, 0, 1
0.03, 0.02, 0.01, 100%, 0, 118, 2768, 5, 1
0.04, 0.01, 0.02, 97%, 0, 122, 2756, 10, 1
0.04, 0.02, 0.01, 97%, 0, 120, 2772, 0, 1
0.04, 0.02, 0.01, 97%, 0, 120, 2776, 0, 1
0.04, 0.02, 0.02, 100%, 0, 121, 2772, 11, 1
0.04, 0.00, 0.03, 100%, 0, 120, 2764, 1, 1
0.04, 0.02, 0.01, 97%, 0, 123, 2844, 5, 1
0.03, 0.02, 0.01, 97%, 0, 120, 2776, 2, 1
0.04, 0.01, 0.02, 100%, 0, 120, 2684, 0, 1
