wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.02, 0.01, 0.00, 100%, 0, 2380, 148132, 7, 1
0.02, 0.00, 0.01, 95%, 0, 2379, 148016, 0, 1
0.01, 0.01, 0.00, 94%, 0, 2379, 148224, 0, 1
0.02, 0.01, 0.00, 100%, 0, 2379, 148164, 0, 1
0.01, 0.01, 0.00, 100%, 0, 2381, 148072, 4, 1
0.02, 0.01, 0.01, 95%, 0, 2380, 148080, 0, 1
0.02, 0.02, 0.00, 96%, 0, 2380, 148132, 4, 1
0.02, 0.02, 0.00, 100%, 0, 2379, 148092, 0, 1
0.01, 0.01, 0.00, 94%, 0, 2379, 148216, 0, 1
0.02, 0.00, 0.01, 95%, 0, 2379, 148184, 5, 1
