wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.08, 0.22, 0.05, 320%, 0, 23411, 1493940, 38, 15
0.09, 0.22, 0.05, 304%, 0, 23414, 1493976, 34, 16
0.09, 0.21, 0.05, 286%, 0, 23413, 1493948, 41, 17
0.08, 0.22, 0.06, 328%, 0, 23414, 1493976, 41, 15
0.09, 0.20, 0.06, 293%, 0, 23412, 1493972, 41, 17
0.08, 0.24, 0.04, 326%, 0, 23415, 1493980, 42, 19
0.09, 0.22, 0.05, 315%, 0, 23414, 1494020, 35, 15
0.08, 0.23, 0.04, 315%, 0, 23412, 1493972, 42, 15
0.09, 0.20, 0.07, 305%, 0, 23413, 1493920, 46, 17
0.08, 0.25, 0.03, 325%, 0, 23414, 1494156, 37, 20
