wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.19, 0.18, 0.00, 99%, 0, 2379, 148092, 12, 1
0.19, 0.18, 0.00, 100%, 0, 2380, 148096, 0, 1
0.19, 0.18, 0.01, 99%, 0, 2378, 148124, 13, 1
0.19, 0.19, 0.00, 99%, 0, 2380, 148236, 9, 1
0.19, 0.19, 0.00, 99%, 0, 2380, 148148, 1, 1
0.19, 0.18, 0.00, 100%, 0, 2378, 148124, 12, 1
0.18, 0.18, 0.00, 99%, 0, 2381, 148140, 13, 1
0.19, 0.19, 0.00, 99%, 0, 2381, 148140, 0, 1
0.18, 0.17, 0.01, 99%, 0, 2380, 148024, 1, 1
0.19, 0.18, 0.01, 99%, 0, 2381, 148176, 1, 1
