wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.08, 0.06, 0.02, 98%, 0, 61, 1408, 6, 1
0.08, 0.07, 0.01, 98%, 0, 61, 1432, 0, 1
0.08, 0.06, 0.02, 98%, 0, 60, 1448, 173, 1
0.08, 0.06, 0.02, 100%, 0, 59, 1432, 20, 1
0.08, 0.05, 0.02, 98%, 0, 59, 1428, 7, 1
0.08, 0.06, 0.01, 98%, 0, 59, 1436, 0, 1
0.08, 0.08, 0.00, 98%, 0, 61, 1484, 2, 1
0.09, 0.06, 0.03, 100%, 0, 61, 1412, 20, 1
0.08, 0.04, 0.03, 97%, 0, 60, 1480, 1, 1
0.08, 0.06, 0.02, 100%, 0, 60, 1428, 0, 1
