wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
5.24, 5.03, 0.21, 99%, 0, 1740, 11208, 83, 3
5.26, 5.00, 0.26, 100%, 0, 1741, 11204, 59, 3
5.22, 4.98, 0.23, 100%, 0, 1728, 11152, 10, 3
5.24, 5.06, 0.18, 100%, 0, 1729, 11104, 9, 3
5.24, 5.04, 0.20, 100%, 0, 1734, 11220, 49, 3
5.26, 4.99, 0.27, 99%, 0, 1734, 11156, 8, 3
5.21, 4.98, 0.22, 100%, 0, 1733, 11220, 6, 3
5.26, 4.94, 0.31, 99%, 0, 1741, 11204, 9, 3
5.24, 5.03, 0.21, 100%, 0, 1741, 11156, 20, 3
5.23, 5.01, 0.22, 100%, 0, 1737, 11152, 11, 3
