wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.01, 0.02, 0.00, 164%, 0, 2394, 149316, 0, 4
0.01, 0.01, 0.01, 166%, 0, 2395, 149316, 5, 7
0.01, 0.02, 0.00, 178%, 0, 2395, 149532, 0, 4
0.01, 0.01, 0.00, 157%, 0, 2396, 149396, 0, 7
0.01, 0.01, 0.00, 171%, 0, 2395, 149412, 4, 6
0.01, 0.01, 0.00, 161%, 0, 2395, 149324, 0, 6
0.01, 0.01, 0.00, 169%, 0, 2395, 149464, 6, 6
0.01, 0.01, 0.00, 161%, 0, 2395, 149308, 0, 7
0.01, 0.01, 0.01, 169%, 0, 2396, 149356, 0, 6
0.01, 0.01, 0.00, 164%, 0, 2395, 149308, 0, 7
