wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
2.18, 1.93, 0.25, 99%, 0, 62, 1412, 41, 1
2.18, 1.99, 0.19, 100%, 0, 59, 1440, 17, 1
2.19, 1.99, 0.20, 100%, 0, 60, 1456, 3, 1
2.18, 1.94, 0.24, 100%, 0, 59, 1436, 10, 1
2.18, 1.93, 0.24, 99%, 0, 61, 1512, 3, 1
2.19, 1.94, 0.24, 100%, 0, 61, 1484, 3, 1
2.20, 1.92, 0.28, 99%, 0, 62, 1412, 32, 1
2.22, 2.02, 0.20, 100%, 0, 60, 1480, 3, 1
2.20, 2.00, 0.19, 99%, 0, 64, 1536, 23, 1
2.18, 1.95, 0.23, 100%, 0, 61, 1412, 8, 1
