wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.64, 0.44, 0.20, 99%, 0, 115, 2664, 30, 1
0.61, 0.48, 0.12, 99%, 0, 117, 2760, 12, 1
0.60, 0.49, 0.11, 99%, 0, 117, 2764, 19, 1
0.61, 0.47, 0.14, 100%, 0, 116, 2696, 0, 1
0.61, 0.47, 0.14, 99%, 0, 118, 2760, 0, 1
0.60, 0.45, 0.15, 100%, 0, 117, 2764, 2, 1
0.61, 0.48, 0.12, 100%, 0, 118, 2752, 14, 1
0.61, 0.46, 0.14, 100%, 0, 117, 2760, 2, 1
0.60, 0.47, 0.13, 100%, 0, 116, 2720, 1, 1
0.61, 0.46, 0.15, 99%, 0, 117, 2776, 15, 1
