wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.56, 0.53, 0.02, 100%, 0, 196, 4104, 64, 1
0.53, 0.51, 0.02, 100%, 0, 199, 4244, 21, 1
0.53, 0.50, 0.02, 99%, 0, 199, 4188, 18, 1
0.53, 0.51, 0.02, 99%, 0, 203, 4468, 3, 1
0.53, 0.51, 0.01, 99%, 0, 197, 4088, 29, 1
0.54, 0.52, 0.02, 100%, 0, 198, 4124, 16, 1
0.53, 0.52, 0.01, 99%, 0, 205, 4468, 1, 1
0.53, 0.52, 0.01, 100%, 0, 199, 4232, 26, 1
0.53, 0.51, 0.01, 99%, 0, 204, 4484, 25, 1
0.55, 0.52, 0.02, 99%, 0, 200, 4224, 5, 1
