wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.15, 0.09, 0.05, 99%, 0, 38316, 157468, 57, 4
0.15, 0.09, 0.05, 98%, 0, 38310, 157532, 28, 3
0.15, 0.09, 0.05, 99%, 0, 38301, 157424, 4, 3
0.15, 0.09, 0.05, 99%, 0, 38301, 157444, 14, 3
0.15, 0.09, 0.05, 99%, 0, 38313, 157360, 2, 3
0.15, 0.10, 0.05, 100%, 0, 38307, 157464, 1, 3
0.15, 0.10, 0.05, 100%, 0, 38302, 157308, 13, 3
0.15, 0.09, 0.05, 99%, 0, 38317, 157480, 7, 3
0.15, 0.10, 0.04, 100%, 0, 38319, 157532, 16, 3
0.15, 0.10, 0.04, 99%, 0, 38312, 157524, 14, 3
