wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.09, 0.24, 0.03, 304%, 0, 23425, 1494844, 53, 42
0.09, 0.23, 0.04, 304%, 0, 23425, 1494848, 34, 59
0.09, 0.22, 0.04, 295%, 0, 23427, 1494856, 63, 66
0.09, 0.23, 0.03, 295%, 0, 23424, 1494840, 51, 46
0.08, 0.23, 0.05, 325%, 0, 23426, 1494848, 51, 18
0.09, 0.22, 0.06, 309%, 0, 23425, 1494840, 48, 34
0.09, 0.24, 0.04, 315%, 0, 23424, 1494772, 50, 61
0.09, 0.22, 0.05, 313%, 0, 23424, 1494756, 43, 75
0.08, 0.24, 0.03, 322%, 0, 23424, 1494784, 52, 70
0.08, 0.22, 0.05, 319%, 0, 23424, 1494772, 67, 64
