wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
2.99, 2.75, 0.23, 99%, 0, 88, 2128, 58, 1
2.95, 2.69, 0.25, 99%, 0, 88, 2108, 10, 1
2.89, 2.67, 0.22, 99%, 0, 89, 2124, 4, 1
2.91, 2.68, 0.23, 99%, 0, 90, 2260, 7, 1
2.93, 2.68, 0.25, 100%, 0, 90, 2192, 26, 1
2.98, 2.78, 0.20, 100%, 0, 91, 2116, 29, 1
2.96, 2.73, 0.23, 99%, 0, 89, 2136, 43, 1
2.93, 2.66, 0.26, 99%, 0, 89, 2112, 38, 1
3.14, 2.86, 0.28, 100%, 0, 89, 2084, 5, 1
2.96, 2.70, 0.25, 99%, 0, 87, 2128, 9, 1
