wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.33, 0.30, 0.01, 93%, 1, 3287, 156036, 0, 3
0.31, 0.30, 0.00, 100%, 0, 3280, 156148, 3, 1
0.31, 0.29, 0.01, 99%, 0, 3290, 156200, 14, 1
0.31, 0.30, 0.01, 99%, 0, 3287, 156240, 8, 1
0.32, 0.31, 0.00, 100%, 0, 3282, 156276, 3, 1
0.30, 0.30, 0.00, 100%, 0, 3284, 156268, 2, 1
0.30, 0.30, 0.00, 100%, 0, 3290, 156300, 0, 1
0.31, 0.31, 0.00, 100%, 0, 3289, 156252, 1, 1
0.30, 0.29, 0.01, 99%, 0, 3286, 156268, 1, 1
0.31, 0.30, 0.00, 100%, 0, 3290, 156244, 51, 1
