wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
1.79, 1.73, 0.05, 100%, 0, 24304, 1499528, 4, 1
1.78, 1.74, 0.04, 100%, 0, 24298, 1499376, 3, 1
1.80, 1.74, 0.06, 99%, 0, 24308, 1499540, 192, 1
1.79, 1.74, 0.04, 99%, 0, 24296, 1499344, 2, 1
1.80, 1.75, 0.05, 99%, 0, 24308, 1499388, 18, 1
1.80, 1.76, 0.03, 100%, 0, 24294, 1499544, 17, 1
1.79, 1.72, 0.06, 100%, 0, 24297, 1499500, 2, 1
1.78, 1.74, 0.04, 100%, 0, 24306, 1499500, 7, 1
1.78, 1.73, 0.05, 99%, 0, 24304, 1499500, 2, 1
1.79, 1.75, 0.03, 100%, 0, 24295, 1499548, 19, 1
