wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.15, 0.08, 0.05, 87%, 0, 40663, 174652, 0, 2
0.13, 0.07, 0.05, 99%, 0, 40662, 174780, 4, 1
0.13, 0.08, 0.04, 100%, 0, 40664, 174592, 1, 1
0.13, 0.06, 0.07, 100%, 0, 40663, 174832, 11, 1
0.13, 0.06, 0.06, 100%, 0, 40664, 174704, 9, 1
0.13, 0.08, 0.05, 99%, 0, 40665, 174948, 0, 1
0.13, 0.07, 0.05, 100%, 0, 40662, 174924, 2, 1
0.13, 0.06, 0.06, 100%, 0, 40664, 174644, 1, 1
0.13, 0.07, 0.06, 99%, 0, 40660, 174564, 16, 1
0.13, 0.06, 0.06, 99%, 0, 40663, 174652, 10, 1
