wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.03, 0.00, 0.02, 96%, 0, 126, 2800, 1, 1
0.03, 0.02, 0.00, 96%, 0, 127, 2792, 1, 1
0.03, 0.02, 0.00, 96%, 0, 127, 2792, 0, 1
0.03, 0.01, 0.01, 96%, 0, 125, 2704, 0, 1
0.03, 0.01, 0.01, 96%, 0, 124, 2784, 0, 1
0.03, 0.01, 0.01, 96%, 0, 125, 2808, 8, 1
0.03, 0.00, 0.03, 100%, 0, 125, 2700, 2, 1
0.03, 0.01, 0.01, 96%, 0, 126, 2692, 0, 1
0.03, 0.01, 0.01, 96%, 0, 125, 2704, 0, 1
0.03, 0.01, 0.01, 96%, 0, 126, 2780, 0, 1
