wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
4.12, 3.90, 0.21, 99%, 0, 199, 4276, 35, 1
4.09, 3.86, 0.22, 99%, 0, 198, 4256, 15, 1
4.08, 3.81, 0.26, 100%, 0, 199, 4340, 36, 1
4.10, 3.88, 0.21, 99%, 0, 197, 4200, 9, 1
4.11, 3.85, 0.26, 99%, 0, 196, 4128, 7, 1
4.09, 3.87, 0.22, 100%, 0, 197, 4216, 20, 1
4.09, 3.87, 0.21, 100%, 0, 196, 4196, 14, 1
4.08, 3.84, 0.23, 99%, 0, 198, 4176, 19, 1
4.08, 3.88, 0.20, 100%, 0, 197, 4300, 8, 1
4.08, 3.87, 0.21, 99%, 0, 199, 4276, 11, 1
