wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
1.56, 0.89, 0.67, 99%, 0, 548890, 2210472, 3, 1
1.54, 0.81, 0.72, 99%, 0, 548890, 2210552, 4, 1
1.53, 0.86, 0.67, 99%, 0, 548888, 2210324, 2, 1
1.55, 0.81, 0.73, 99%, 0, 548890, 2210456, 6, 1
1.54, 0.89, 0.64, 99%, 0, 548888, 2210720, 7, 1
1.53, 0.93, 0.60, 100%, 0, 548886, 2210528, 1, 1
1.55, 0.87, 0.67, 99%, 0, 548890, 2210380, 4, 1
1.54, 0.82, 0.72, 99%, 0, 548888, 2210684, 4, 1
1.53, 0.87, 0.66, 99%, 0, 548890, 2210380, 5, 1
1.54, 0.83, 0.71, 100%, 0, 548893, 2210524, 4, 1
