wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.08, 0.43, 0.08, 581%, 0, 23426, 1494896, 27, 3
0.08, 0.41, 0.09, 587%, 0, 23423, 1494804, 15, 2
0.08, 0.38, 0.12, 583%, 0, 23426, 1494852, 23, 5
0.08, 0.42, 0.09, 585%, 0, 23425, 1494848, 25, 5
0.08, 0.41, 0.10, 585%, 0, 23426, 1494844, 21, 2
0.08, 0.45, 0.06, 588%, 0, 23426, 1494952, 24, 2
0.08, 0.39, 0.12, 580%, 0, 23425, 1494828, 26, 5
0.08, 0.43, 0.08, 583%, 0, 23426, 1494952, 27, 3
0.08, 0.41, 0.10, 579%, 0, 23424, 1494840, 37, 6
0.08, 0.42, 0.10, 585%, 0, 23426, 1494848, 18, 3
