wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.35, 0.24, 0.10, 99%, 0, 119, 2764, 0, 1
0.35, 0.21, 0.13, 99%, 0, 120, 2844, 2, 1
0.35, 0.21, 0.13, 99%, 0, 120, 2768, 0, 1
0.35, 0.21, 0.14, 99%, 0, 121, 2792, 2, 1
0.35, 0.22, 0.12, 99%, 0, 121, 2856, 0, 1
0.35, 0.22, 0.12, 99%, 0, 121, 2768, 0, 1
0.35, 0.22, 0.13, 99%, 0, 119, 2856, 0, 1
0.35, 0.22, 0.12, 99%, 0, 120, 2852, 2, 1
0.34, 0.22, 0.12, 100%, 0, 118, 2668, 3, 1
0.35, 0.22, 0.13, 99%, 0, 121, 2792, 0, 1
