wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.67, 0.48, 0.18, 99%, 0, 116, 2820, 2, 1
0.64, 0.52, 0.12, 100%, 0, 117, 2828, 2, 1
0.63, 0.46, 0.16, 99%, 0, 114, 2836, 2, 1
0.62, 0.47, 0.15, 99%, 0, 114, 2832, 3, 1
0.65, 0.50, 0.15, 99%, 0, 115, 2776, 1, 1
0.62, 0.50, 0.11, 99%, 0, 114, 2652, 0, 1
0.62, 0.48, 0.13, 99%, 0, 116, 2836, 1, 1
0.62, 0.43, 0.19, 99%, 0, 116, 2836, 0, 1
0.62, 0.51, 0.11, 100%, 0, 114, 2652, 1, 1
0.62, 0.47, 0.15, 99%, 0, 116, 2780, 3, 1
