wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.17, 0.14, 0.02, 99%, 0, 60, 1428, 0, 1
0.17, 0.15, 0.02, 99%, 0, 59, 1424, 1, 1
0.17, 0.17, 0.00, 99%, 0, 66, 1596, 3, 1
0.17, 0.15, 0.01, 99%, 0, 60, 1468, 2, 1
0.17, 0.15, 0.02, 100%, 0, 61, 1564, 0, 1
0.17, 0.14, 0.02, 99%, 0, 61, 1488, 0, 1
0.17, 0.15, 0.02, 99%, 0, 61, 1564, 6, 1
0.17, 0.13, 0.04, 99%, 0, 60, 1468, 1, 1
0.17, 0.14, 0.03, 99%, 0, 60, 1484, 3, 1
0.17, 0.15, 0.01, 99%, 0, 64, 1536, 0, 1
