wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.02, 0.01, 0.01, 100%, 0, 124, 2876, 0, 1
0.02, 0.01, 0.01, 96%, 0, 124, 2876, 0, 1
0.02, 0.02, 0.00, 100%, 0, 126, 2876, 0, 1
0.02, 0.01, 0.01, 96%, 0, 124, 2868, 0, 1
0.02, 0.01, 0.01, 96%, 0, 127, 2876, 0, 1
0.02, 0.01, 0.01, 100%, 0, 125, 2864, 0, 1
0.02, 0.02, 0.00, 100%, 0, 123, 2868, 0, 1
0.03, 0.01, 0.01, 100%, 0, 128, 2844, 2, 1
0.02, 0.02, 0.00, 100%, 0, 123, 2868, 0, 1
0.03, 0.01, 0.01, 96%, 0, 126, 2856, 0, 1
