wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.38, 0.34, 0.02, 95%, 16, 964, 8920, 2, 47
0.31, 0.30, 0.01, 99%, 0, 951, 8768, 1, 1
0.32, 0.29, 0.02, 99%, 0, 950, 8900, 0, 1
0.31, 0.29, 0.02, 100%, 0, 952, 8900, 3, 1
0.33, 0.30, 0.02, 99%, 0, 951, 8740, 2, 1
0.32, 0.30, 0.02, 99%, 0, 953, 8924, 1, 1
0.33, 0.28, 0.05, 100%, 0, 951, 8772, 1, 1
0.32, 0.31, 0.01, 100%, 0, 952, 8900, 2, 1
0.32, 0.29, 0.02, 100%, 0, 950, 8868, 0, 1
0.32, 0.29, 0.02, 99%, 0, 951, 8924, 1, 1
