wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.09, 0.21, 0.07, 310%, 0, 23415, 1494020, 1, 3
0.09, 0.23, 0.04, 310%, 0, 23414, 1493972, 3, 2
0.10, 0.22, 0.08, 298%, 0, 23414, 1493952, 0, 2
0.09, 0.22, 0.09, 317%, 0, 23415, 1493976, 2, 3
0.10, 0.23, 0.07, 307%, 0, 23413, 1494036, 1, 2
0.09, 0.22, 0.07, 311%, 0, 23414, 1493984, 1, 3
0.09, 0.20, 0.09, 308%, 0, 23414, 1494012, 2, 2
0.09, 0.23, 0.06, 303%, 0, 23414, 1493952, 4, 2
0.10, 0.21, 0.10, 313%, 0, 23415, 1493976, 2, 4
0.09, 0.24, 0.06, 306%, 0, 23413, 1494036, 1, 3
