wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.28, 0.27, 0.00, 96%, 1, 3274, 155880, 1, 4
0.25, 0.24, 0.01, 100%, 0, 3275, 156252, 0, 1
0.25, 0.23, 0.01, 99%, 0, 3276, 156244, 0, 1
0.25, 0.24, 0.00, 100%, 0, 3274, 156244, 3, 1
0.24, 0.24, 0.00, 99%, 0, 3273, 156120, 1, 1
0.25, 0.25, 0.00, 99%, 0, 3277, 156260, 1, 1
0.26, 0.25, 0.01, 99%, 0, 3276, 156260, 0, 1
0.26, 0.24, 0.01, 100%, 0, 3272, 156056, 4, 1
0.24, 0.24, 0.00, 100%, 0, 3273, 156100, 1, 1
0.25, 0.25, 0.00, 100%, 0, 3275, 156252, 0, 1
