wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
2.69, 2.43, 0.25, 99%, 0, 90, 2148, 15, 1
2.68, 2.41, 0.27, 99%, 0, 89, 2168, 5, 1
2.70, 2.38, 0.31, 99%, 0, 87, 2172, 8, 1
2.68, 2.38, 0.30, 100%, 0, 88, 2172, 3, 1
2.69, 2.43, 0.25, 100%, 0, 89, 2148, 5, 1
2.69, 2.37, 0.31, 99%, 0, 90, 2124, 12, 1
2.69, 2.42, 0.26, 99%, 0, 88, 2172, 5, 1
2.69, 2.39, 0.29, 99%, 0, 89, 2136, 15, 1
2.68, 2.39, 0.29, 100%, 0, 89, 2184, 16, 1
2.71, 2.43, 0.27, 99%, 0, 89, 2116, 4, 1
