wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
6.94, 6.77, 0.17, 100%, 0, 1819, 22220, 21, 1
7.56, 7.37, 0.19, 99%, 0, 1823, 22260, 26, 1
6.91, 6.73, 0.17, 99%, 0, 1819, 22416, 20, 1
6.90, 6.74, 0.15, 99%, 0, 1821, 22248, 17, 1
7.01, 6.77, 0.23, 99%, 0, 1825, 22620, 26, 1
6.99, 6.81, 0.17, 99%, 0, 1821, 22276, 15, 1
7.74, 7.54, 0.20, 100%, 0, 1822, 22368, 26, 1
7.14, 6.93, 0.21, 99%, 0, 1819, 22400, 20, 1
6.89, 6.70, 0.18, 100%, 0, 1820, 22252, 20, 1
6.94, 6.75, 0.19, 100%, 0, 1821, 22456, 18, 1
