wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.15, 0.09, 0.05, 97%, 0, 38318, 157528, 3, 4
0.14, 0.09, 0.04, 99%, 0, 38319, 157580, 2, 3
0.14, 0.09, 0.05, 100%, 0, 38307, 157484, 1, 3
0.14, 0.09, 0.05, 100%, 0, 38303, 157316, 6, 3
0.14, 0.09, 0.05, 100%, 0, 38321, 157476, 2, 3
0.14, 0.09, 0.04, 99%, 0, 38306, 157432, 2, 3
0.14, 0.09, 0.05, 100%, 0, 38309, 157308, 2, 3
0.14, 0.08, 0.05, 99%, 0, 38306, 157436, 2, 3
0.14, 0.09, 0.05, 99%, 0, 38300, 157304, 2, 3
0.15, 0.09, 0.05, 100%, 0, 38319, 157472, 3, 3
