wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
1.71, 1.43, 0.28, 100%, 0, 86, 2052, 3, 1
1.72, 1.49, 0.23, 100%, 0, 89, 2048, 6, 1
1.73, 1.40, 0.32, 99%, 0, 88, 1992, 7, 1
1.72, 1.42, 0.29, 99%, 0, 85, 1928, 7, 1
1.73, 1.49, 0.24, 99%, 0, 89, 2004, 5, 1
1.73, 1.42, 0.31, 100%, 0, 88, 2056, 4, 1
1.72, 1.47, 0.25, 100%, 0, 86, 2000, 9, 1
1.72, 1.48, 0.23, 100%, 0, 87, 1976, 3, 1
1.73, 1.41, 0.31, 99%, 0, 85, 1976, 4, 1
1.73, 1.44, 0.28, 100%, 0, 87, 1980, 6, 1
