wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.00, 0.02, 0.00, 377%, 0, 2412, 150052, 1, 3
0.00, 0.03, 0.01, 525%, 0, 2416, 150168, 3, 5
0.00, 0.04, 0.00, 537%, 0, 2414, 150080, 2, 3
0.00, 0.04, 0.00, 587%, 0, 2415, 150164, 3, 3
0.00, 0.03, 0.00, 525%, 0, 2416, 150152, 0, 4
0.00, 0.03, 0.00, 550%, 0, 2415, 150176, 0, 4
0.00, 0.03, 0.01, 562%, 0, 2415, 150160, 0, 3
0.00, 0.02, 0.01, 366%, 0, 2415, 150148, 0, 4
0.00, 0.03, 0.00, 525%, 0, 2412, 150052, 0, 4
0.00, 0.02, 0.01, 525%, 0, 2415, 150100, 1, 5
