wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.01, 0.01, 0.00, 163%, 0, 2394, 149316, 0, 2
0.01, 0.01, 0.00, 184%, 0, 2397, 149360, 0, 2
0.01, 0.01, 0.00, 178%, 0, 2397, 149352, 0, 2
0.01, 0.01, 0.00, 180%, 0, 2395, 149320, 0, 2
0.01, 0.01, 0.00, 180%, 0, 2397, 149296, 0, 2
0.01, 0.01, 0.01, 184%, 0, 2394, 149312, 0, 2
0.01, 0.01, 0.00, 180%, 0, 2396, 149328, 0, 2
0.01, 0.01, 0.00, 169%, 0, 2394, 149320, 1, 2
0.01, 0.01, 0.00, 184%, 0, 2394, 149316, 0, 2
0.01, 0.01, 0.00, 180%, 0, 2395, 149356, 0, 2
