wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.18, 0.16, 0.02, 99%, 0, 137, 3000, 1, 1
0.18, 0.16, 0.02, 100%, 0, 134, 2816, 0, 1
0.18, 0.16, 0.01, 99%, 0, 132, 2908, 0, 1
0.18, 0.16, 0.01, 100%, 0, 133, 2924, 1, 1
0.18, 0.17, 0.00, 98%, 0, 131, 2816, 1, 1
0.18, 0.15, 0.03, 99%, 0, 134, 2868, 0, 1
0.18, 0.15, 0.03, 99%, 0, 131, 2924, 0, 1
0.18, 0.16, 0.01, 99%, 0, 134, 2876, 0, 1
0.18, 0.17, 0.01, 99%, 0, 134, 2816, 1, 1
0.18, 0.16, 0.01, 99%, 0, 132, 2868, 0, 1
