wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.80, 0.57, 0.23, 100%, 0, 62, 1468, 2, 1
0.83, 0.58, 0.24, 99%, 0, 62, 1576, 7, 1
0.84, 0.61, 0.23, 99%, 0, 63, 1532, 1, 1
0.83, 0.57, 0.25, 99%, 0, 62, 1472, 1, 1
0.80, 0.58, 0.22, 100%, 0, 64, 1576, 1, 1
0.81, 0.57, 0.24, 100%, 0, 62, 1524, 2, 1
0.80, 0.56, 0.24, 99%, 0, 62, 1540, 6, 1
0.83, 0.59, 0.24, 99%, 0, 61, 1472, 3, 1
0.83, 0.54, 0.29, 100%, 0, 60, 1428, 2, 1
0.83, 0.60, 0.23, 99%, 0, 61, 1488, 2, 1
