wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.18, 0.16, 0.01, 99%, 0, 2381, 148128, 0, 1
0.18, 0.17, 0.00, 100%, 0, 2380, 148084, 0, 1
0.18, 0.18, 0.00, 100%, 0, 2380, 148232, 0, 1
0.17, 0.16, 0.00, 99%, 0, 2383, 148076, 1, 1
0.17, 0.16, 0.00, 100%, 0, 2379, 148156, 0, 1
0.17, 0.16, 0.00, 99%, 0, 2380, 148100, 0, 1
0.18, 0.17, 0.00, 99%, 0, 2380, 148232, 0, 1
0.17, 0.16, 0.01, 99%, 0, 2379, 148068, 7, 1
0.17, 0.17, 0.00, 100%, 0, 2382, 148040, 0, 1
0.17, 0.16, 0.00, 99%, 0, 2378, 148060, 1, 1
