wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.01, 0.01, 0.00, 100%, 0, 2380, 148212, 0, 1
0.01, 0.00, 0.01, 100%, 0, 2381, 148152, 0, 1
0.01, 0.01, 0.00, 100%, 0, 2382, 148068, 0, 1
0.01, 0.01, 0.00, 94%, 0, 2380, 148184, 0, 1
0.01, 0.01, 0.00, 94%, 0, 2379, 148220, 0, 1
0.01, 0.01, 0.00, 94%, 0, 2380, 148064, 0, 1
0.01, 0.00, 0.00, 100%, 0, 2379, 148220, 0, 1
0.01, 0.01, 0.00, 100%, 0, 2380, 148092, 0, 1
0.01, 0.01, 0.00, 94%, 0, 2382, 148136, 0, 1
0.01, 0.01, 0.00, 100%, 0, 2380, 148152, 0, 1
