wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
5.02, 4.81, 0.21, 100%, 0, 1735, 11176, 22, 3
5.09, 4.93, 0.15, 99%, 0, 1739, 11000, 15, 3
5.09, 4.90, 0.19, 100%, 0, 1742, 11120, 16, 3
5.10, 4.88, 0.22, 100%, 0, 1734, 10992, 12, 3
5.10, 4.84, 0.26, 100%, 0, 1746, 11196, 15, 3
5.05, 4.75, 0.29, 99%, 0, 1728, 10960, 16, 3
5.09, 4.78, 0.30, 99%, 0, 1746, 11164, 14, 3
5.10, 4.90, 0.20, 99%, 0, 1744, 11184, 26, 3
5.03, 4.78, 0.24, 100%, 0, 1738, 11240, 19, 3
5.03, 4.80, 0.22, 100%, 0, 1742, 11148, 17, 3
